,LOI,dnLOI,Lat,Lon,Contributing Area,Geomorphic Class,Geologic Setting,Mean Annual Flow (cfs),COMID
2664961,Indian,,,,39.4865357094,,,63.20234573300346,2664961
8285498,Sproul,,,,4.9927621824,,,17.108696321193573,8285498
